epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,10137.9,1.41658,1.46213,0.02017,0.59058,0.61994,0.63743,0.3221,1.72234,1.42688,0.04135,0.000166149,0.000166149,0.000166149
150,10204,1.42017,1.4546,0.02007,0.54476,0.6332,0.62536,0.31449,1.71716,1.4771,0.04108,0.000160523,0.000160523,0.000160523
151,10269.7,1.40205,1.43146,0.02072,0.57634,0.62869,0.62597,0.31703,1.72072,1.49528,0.04148,0.000154982,0.000154982,0.000154982
152,10334.1,1.38619,1.4417,0.01977,0.57969,0.61483,0.6184,0.30741,1.76157,1.50809,0.04216,0.000149527,0.000149527,0.000149527
153,10397.7,1.41032,1.44965,0.01999,0.5689,0.609,0.61057,0.3062,1.73852,1.49932,0.04199,0.000144161,0.000144161,0.000144161
154,10462.4,1.40504,1.45799,0.02042,0.55655,0.62303,0.61645,0.30711,1.71383,1.50527,0.04103,0.000138883,0.000138883,0.000138883
155,10527,1.39215,1.45238,0.02011,0.5806,0.62554,0.63293,0.31572,1.70889,1.45547,0.04084,0.000133695,0.000133695,0.000133695
156,10592.4,1.39272,1.43149,0.01989,0.58287,0.61397,0.62578,0.3229,1.67664,1.45342,0.03967,0.000128599,0.000128599,0.000128599
157,10656.1,1.41711,1.42801,0.02005,0.55747,0.62666,0.61923,0.3126,1.7138,1.48334,0.04088,0.000123596,0.000123596,0.000123596
158,10719.8,1.38699,1.44995,0.02013,0.5664,0.63677,0.6227,0.31259,1.73697,1.45799,0.04127,0.000118687,0.000118687,0.000118687
159,10784.4,1.3925,1.42204,0.0197,0.57785,0.62809,0.63231,0.31616,1.72286,1.44257,0.04147,0.000113873,0.000113873,0.000113873
160,10848.9,1.39971,1.45557,0.02034,0.57187,0.61029,0.62959,0.31204,1.71771,1.49402,0.04049,0.000109156,0.000109156,0.000109156
161,10912.4,1.381,1.45709,0.01993,0.58366,0.63089,0.63216,0.31596,1.75274,1.45665,0.04178,0.000104537,0.000104537,0.000104537
162,10977.6,1.3953,1.42547,0.02006,0.56962,0.61385,0.63043,0.30931,1.72628,1.4967,0.04068,0.000100016,0.000100016,0.000100016
163,11043.6,1.4063,1.44584,0.0201,0.57954,0.62335,0.64023,0.31709,1.72536,1.47322,0.04086,9.55951e-05,9.55951e-05,9.55951e-05
164,11108.4,1.39407,1.42985,0.01984,0.59882,0.61396,0.6416,0.3162,1.75943,1.47135,0.04203,9.12754e-05,9.12754e-05,9.12754e-05
165,11173,1.39428,1.4346,0.01937,0.57755,0.61348,0.64168,0.31721,1.75075,1.45837,0.04089,8.70577e-05,8.70577e-05,8.70577e-05
166,11249,1.40992,1.44384,0.01949,0.5976,0.61316,0.63392,0.31396,1.72839,1.45593,0.04045,8.29431e-05,8.29431e-05,8.29431e-05
167,11315.7,1.38177,1.40942,0.01969,0.59193,0.62858,0.64224,0.32119,1.70309,1.43516,0.03975,7.89327e-05,7.89327e-05,7.89327e-05
168,11383.7,1.38764,1.44018,0.01976,0.57569,0.6142,0.6264,0.30948,1.729,1.49199,0.0405,7.50274e-05,7.50274e-05,7.50274e-05
169,11450.9,1.37801,1.41575,0.01877,0.62816,0.6075,0.64569,0.31913,1.72317,1.45468,0.04078,7.12282e-05,7.12282e-05,7.12282e-05
170,11521,1.39193,1.44743,0.01956,0.62216,0.61008,0.63398,0.31015,1.74862,1.47341,0.04154,6.7536e-05,6.7536e-05,6.7536e-05
171,11592,1.40091,1.43971,0.01937,0.62084,0.60107,0.6288,0.3079,1.73786,1.4683,0.04106,6.39518e-05,6.39518e-05,6.39518e-05
